Name Party
"Neil  Abercrombie" Democratic
"Ralph L  Abraham" Republican
"Gary L.  Ackerman" Democratic
"Alma S.  Adams" Democratic
"Sandy  Adams" Republican
"Robert B.  Aderholt" Republican
"John H.  Adler" Democratic
"P  Aguilar" Democratic
"Daniel K.  Akaka" Democratic
"W. Todd  Akin" Republican
"Lam  Alexander" Republican
"Rodney  Alexander" Republican
"Way  Allard" Republican
"Rick W.  Allen" Republican
"Thomas H.  Allen" Democratic
"Colin Z.  Allred" Democratic
"Jas  Altmire" Democratic
"Ju  Amash" Libertarian
"Mark E.  Amodei" Republican
"Robert E.  Andrews" Democratic
"Michael A.  Arcuri" Democratic
"Kelly  Armstrong" Republican
"Jodey C.  Arrington" Republican
"Brad  Ashford" Democratic
"Jak  Auchincloss" Democratic
Austria Republican
"Cynth  Axne" Democratic
"Kelly  Ayotte" Republican
"B  Babin" Republican
"J  Baca" Democratic
"Michel  Bachmann" Republican
"Spenc  Bachus" Republican
"D  Bacon" Republican
"B  Baird" Democratic
"James R.  Baird" Republican
"Richard H.  Baker" Republican
"Troy  Balderson" Republican
"Tammy  Baldwin" Democratic
"Jim  Banks" Republican
"R  Barber" Democratic
"Lou  Barletta" Republican
"Andy  Barr" Republican
"Nanette Diaz  Barragan" Democratic
"Joh  Barrasso" Republican
"J. Gresham  Barrett" Republican
"Joh  Barrow" Democratic
"Roscoe G.  Bartlett" Republican
"J  Barton" Republican
"Charles F.  Bass" Republican
"K  Bass" Democratic
"Max  Baucus" Democratic
"E  Bayh" Democratic
"Melissa L.  Bean" Democratic
"Joyc  Beatty" Democratic
"X  Becerra" Democratic
"Mark  Begich" Democratic
"D  Benishek" Republican
"Michael  Bennet" Democratic
"Robert F.  Bennett" Republican
"Kerry L.  Bentivolio" Republican
"Cliff  Bentz" Republican
"Am  Bera" Democratic
"Rick  Berg" Republican
"Jack  Bergman" Republican
"Shelley  Berkley" Democratic
"Howard L.  Berman" Democratic
"Mari  Berry" Democratic
"Jr.  Donald S.  Beyer" Democratic
"Stephanie I.  Bice" Republican
"Jr.  Joseph R.  Biden" Democratic
"Judy  Biggert" Republican
"Andy  Biggs" Republican
"Brian P.  Bilbray" Republican
"Gus M.  Bilirakis" Republican
"Jeff  Bingaman" Democratic
"D  Bishop" Republican
"Mik  Bishop" Republican
"Rob  Bishop" Republican
"Jr.  Sanford D.  Bishop" Democratic
"Timothy H.  Bishop" Democratic
"D  Black" Republican
"Marsh  Blackburn" Republican
"Rod  Blum" Republican
"Earl  Blumenauer" Democratic
"Richard  Blumenthal" Democratic
"L  Blunt Rochester" Democratic
"Roy  Blunt" Republican
"John A.  Boccieri" Democratic
"Lau  Boebert" Republican
"John A.  Boehner" Republican
"Suz  Bonamici" Democratic
"Christopher S.  Bond" Republican
"J  Bonner" Republican
"Mary  Bono Mack" Republican
"Cory  Booker" Democratic
"Joh  Boozman" Republican
"Madeleine Z. Delegate Bordallo" Democratic
"D  Boren" Democratic
"Mik  Bost" Republican
"Leonard L.  Boswell" Democratic
"Rick  Boucher" Democratic
"Caroly  Bourdeaux" Democratic
"Jr.  Charles W.  Boustany" Republican
"Jamaal  Bowman" Democratic
"Barb  Boxer" Democratic
"All  Boyd" Democratic
"Nancy E.  Boyda" Democratic
"Brendan F.  Boyle" Democratic
"K  Brady" Republican
"Robert A.  Brady" Democratic
"Bruce L.  Braley" Democratic
"D  Brat" Republican
"Mik  Braun" Republican
"Jim  Bridenstine" Republican
"Bobby  Bright" Democratic
"Anthony  Brindisi" Democratic
"M  Brooks" Republican
"Susan W.  Brooks" Republican
"Paul C.  Broun" Republican
"Anthony G.  Brown" Democratic
"C  Brown" Democratic
"Jr.  Henry E.  Brown" Republican
"Scott P.  Brown" Republican
"Sherrod  Brown" Democratic
"Shontel M.  Brown" Democratic
"Ginny  Brown-Waite" Republican
"Sam  Brownback" Republican
"Jul  Brownley" Democratic
"V  Buchanan" Republican
"K  Buck" Republican
"Larry  Bucshon" Republican
"Ted  Budd" Republican
"Ann M  Buerkle" Republican
"Jim  Bunning" Republican
